Name,Address,Opening Hours,Popular Times
THE STONEHURST,"9485 Stonehurst Ave, Shadow Hills, CA 91352, USA",Not available,Not available
Whitehurst,"3119 W Imperial Hwy, Inglewood, CA 90303, USA","['Monday: 11:30\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 46, 39, 41, 48, 41, 43, 31, 29, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 56, 68, 68, 58, 65, 53, 34, 17, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 34, 41, 31, 36, 51, 48, 53, 24, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 58, 65, 63, 48, 43, 60, 58, 36, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 48, 60, 78, 95, 100, 100, 85, 60, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 39, 36, 41, 58, 78, 87, 70, 39, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]"
Ovation Hollywood,"6801 Hollywood Blvd, Hollywood, CA 90028, USA","['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 37, 47, 53, 58, 60, 59, 56, 53, 48, 42, 36, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 35, 42, 47, 50, 52, 53, 50, 46, 41, 37, 34, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 33, 42, 49, 54, 58, 59, 57, 54, 49, 44, 40, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 39, 46, 51, 56, 59, 62, 61, 59, 56, 53, 49, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 42, 51, 58, 64, 68, 70, 70, 71, 71, 69, 65, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 52, 68, 82, 92, 98, 100, 97, 92, 85, 78, 71, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 49, 64, 76, 85, 89, 89, 85, 79, 72, 62, 52, 0, 0]}]"
Avila Adobe,"10 Olvera St, Los Angeles, CA 90012, USA","['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20094:00\u202fPM']","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 20, 25, 22, 35, 29, 23, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 19, 18, 28, 45, 54, 62, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 25, 40, 50, 46, 32, 24, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 64, 79, 83, 63, 44, 23, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 58, 58, 75, 76, 96, 85, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 71, 88, 92, 92, 100, 77, 0, 0, 0, 0, 0, 0, 0, 0]}]"
"The Hoxton, Downtown LA","1060 S Broadway, Los Angeles, CA 90015, USA","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",Not available
STILE Downtown Los Angeles by Kasa,"929 S Broadway, Los Angeles, CA 90015, USA",Not available,Not available
TCL Chinese Theatre,"6925 Hollywood Blvd, Hollywood, CA 90028, USA",Not available,Not available
Hilton Garden Inn Los Angeles/Hollywood,"2005 Highland Ave, Los Angeles, CA 90068, USA",Not available,Not available
Hollywood Sign,"Los Angeles, CA 90068, USA",Not available,Not available
Campo De Cahuenga,"Campo De Cahuenga Park, 3919 Lankershim Blvd, Studio City, CA 91604, USA","['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 10:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",Not available
